Romanian,English
kevin,kevin
foloseşti,use
dur,rough
plânge,cry
vai,Oh my
arate,plowing
realitate,reality
dificil,difficult
carl,carl
matt,Matta
oraşului,city
cumpăr,I buy
rugăm,Please
istoria,the history
anglia,England
ocazia,opportunity
arunca,THROW
motive,reason
întrebam,wondering
zeu,god
înaintea,prior to
aranjat,trim
acestor,these
sistem,system
treia,third
înnebunit,mad
miss,Miss
ridica,pick up
şansa,chance
oricând,whenever
durerea,pain
andy,andy
urgenţă,expedite
găsească,FIND
ridicat,picked up
ocupa,busy
necazuri,trouble
vizită,visit
corp,body
albă,white
costum,costume
foloseşte,uses
bărbatul,man
gunoi,trash
vroia,wanted
flori,FLORA
încolo,away
anii,years
verific,CHECK
visul,the dream
bord,board
ofer,I offer
astazi,today
bag,bag
dragut,cute
culcat,lying down
locuiesc,I live
astia,these
sansa,chance
poze,PICTURES
me,me
stiut,know
scenă,scene
înţelegere,understanding
bancă,the bank
ambele,both
parca,park
rock,rock
catre,by
linie,line
securitate,security
rezolva,solve
nopţii,night
tinere,young man
scăpa,get rid
deştept,smart
istorie,history
rele,bad
continui,continue
scrii,write
lapte,milk
aşadar,therefore
distracţie,fun
dovezi,evidence
zilei,day
roma,Rome
aflăm,are
privinţa,regard
înveţi,learn
pielea,skin
tie,to you
suport,support
oricare,either one
fred,cold
importante,important
întrebarea,the question
dan,yes
bază,the base
situaţie,situation
priviţi,look
u,u
vândut,sold
merci,thanks
scapi,Lose
poză,picture
vara,summer
restaurant,restaurant
interesat,interested
biserica,the church
acei,those
datorită,due to
costă,cost
proces,trial
luptat,FOUGHT
culoare,color
crima,crime
calul,the horse
chef,binge
făceam,doing
dumneavoastra,your
detectiv,detective
scumpule,deary
pariez,pariah
peşte,over
secrete,secret
creierul,brains
gresit,wrong
bănuiesc,I presume
langa,Besides
calm,calm
gust,taste
puştiule,kid
arthur,arthur
nebuni,crazy
iisus,Jesus
autobuz,bus
biserică,the church
rămână,stay
apreciez,I appreciate
nevasta,wife
nuntă,Wedding
cai,repent
făcută,made
programul,program
lucy,lucy
alţi,other
amin,Amen
cinste,honor
insula,the island
tânără,girl
cutia,box
aducă,bring
regret,regret
william,William
fericire,happiness
nervos,nervous
ucid,killing
gandit,thought
veniti,coming
liceu,high school
poza,picture
extraordinar,extraordinary
durează,takes
gratis,gratis
ordinele,the orders
uităm,look
cumperi,buy
scena,scene
primeşti,you get
annie,annie
sotul,husband
curtea,court
sticlă,glass
pâna,until
degrabă,rather
reuşi,SUCCEED
afle,learn
lasi,leave
lovitura,coup
bucătărie,kitchen
poliţiei,police
magazinul,shop
tăiat,cut
mâncăm,eat
geanta,bag
băutură,drink
omoară,killing
prânz,Lunch
cauză,Cause
taie,cut
rezolvat,solved
claire,CLAIR
misca,move
seamănă,resembles
scoatem,out
stati,stay
implicat,involved
post,post
sune,sound
pădure,forest
generalul,General
conform,conformable
nivelul,the
arunc,throw
mesajul,the message
termini,finish
lisa,Lisa
gasi,find
uiti,look
planeta,the planet
aiurea,elsewhere
sărut,kiss
devii,become
lipseşte,missing
conteaza,counts
aude,hears
ed,ed
cate,each
anumite,some
cântă,sing
opreşti,stop
bilet,ticket
ocupi,deal
bătrânul,the old man
baţi,Bati
california,California
aparţine,belongs
tii,know
întâlni,meet
teme,themes
ridică,pick up
viteza,speed
ultimii,recent
albastru,blue
acelea,those
astept,expect
tin,I hold
norocul,luck
arati,show
creadă,think
iubita,girlfriend
realizat,accomplished
extrem,extremely
revenit,return
arat,plowing
baiat,boy
purtat,worn
tineri,young people
ciudată,weird
discutat,discussed
bagi,put
înţelegeţi,understand
ticălos,villain
cinstit,honest
ţină,take
adevarul,truth
contact,contact
adânc,deep
simon,simon
deschid,open
vârstă,age
speram,hope
păcate,Unfortunately
generale,generous
numarul,number
spuneai,say
căuta,search for
accept,I accept
aeroport,airport
k,k
acţiune,action
cărţile,books
priveste,look
specială,special
accepta,accept
destule,enough
terminăm,done
f,f
plăteşti,You pay
daniel,daniel
creşte,grow
practic,practically
joey,joey
închid,close
arde,burn
bucată,piece
miezul,middle
chicago,chicago
trupul,body
cauta,search for
domnişoara,GIRL
neregulă,wrong
gât,neck
descurcat,done
soră,sister
baby,baby
pornit,on
întreg,whole
centru,center
poziţia,the position
atacat,attacked
găseşte,find
inteligent,intelligent
avocatul,lawyer
puncte,puncture
învăţ,learn
program,time schedule
sari,jump up
nas,nose
departamentul,department
incercat,tried
grav,serious
pistol,pistol
lupte,battles
spectacolul,show
sexy,sexy
sabia,kill with a sword
pară,pear
cheama,call
scoţi,out
iesit,out
obişnuit,normal
întreba,ask
video,video
regelui,King
vada,will give
ascultat,listened
sută,hundred
pregătită,ready
rolul,the role
râs,laugh
date,data
planuri,plans
amintesti,remember
apucat,started
cuminte,good
scap,shake
atentie,Careful
my,my
cântec,song
deoparte,aside
minune,marvel
los,los
construit,built
jason,jason
cânta,sing
pereche,pair
căpitan,captain
incearca,try
chema,call
doarme,sleeps
secretul,the secret
îngrozitor,terrible
blocat,stuck
colonele,the colonel
gâtul,neck
ho,oh
test,test
intorc,return
alice,shot
sua,US
supărată,angry
visele,dreams
sat,village
maestre,masters
aceia,those
big,big
interior,inside
întoarcă,return
sine,itself
ieşiţi,exit
atenţia,Caution
domn,gentleman
mint,lie
inauntru,in
ars,burnt
profesorul,teacher
slab,weak
schimbare,change
americani,American
ramas,remaining
doreşte,wants
distanţă,distance
locuieşte,lives
sperie,hope
repet,repeat
zicem,say
phil,Phil
van,vain
rochia,dress
pantalonii,pants
crime,crimes
forma,form
soţ,husband
totii,all
amândouă,both
altele,more
trageţi,PULL
forţa,force
grade,degrees
privesc,I'm watching
scopul,the goal
curent,current
membru,member
scott,scott
locotenente,lieutenants
vremuri,time
pricep,good
raportul,the report
ceilalti,the others
dumneata,you
gasesc,I find
încercam,we try
îndoială,doubt
degetul,finger
surprins,surprised
preţ,price
căsătorie,marriage
îngrijorat,anxious
mijloc,middle
starea,mood
vând,I sell
spart,broken
obţine,Achieve
cadavrul,body
listă,list
voastra,your
vedeti,you see
haina,coat
pizza,the pizza
explica,explain
părerea,opinion
cunosti,know
no,no
perioadă,period
puneţi,place
decizia,Decision
animalele,animals
poliţişti,police
lipsit,absent
lipsa,lack
fbi,fbi
arunci,throw
rose,redness
impresia,the impression
joace,plays
louis,Louis
spaţiu,space-bar
director,director
prefer,I prefer
lungul,over
intoarce,turn
jumatate,half
monstru,monster
citeşti,read
răspund,answer
roy,roy
smith,smith
piele,skin
omului,human
semnalul,signal
opriţi,forbidden
schimbi,CHANGE
mirosul,the smell
învăţa,learn
folosim,we use
wow,wow
bineinteles,of course
acceptat,accepted
începutul,early
stilul,style
bomba,bomb
descurca,disentangle
camion,truck
aducem,bring
copac,tree
ryan,ryan
sperii,scare
refer,mean
um,um
intors,returned
rachel,Rachelle
oribil,horrible
partenerul,partner
pardon,sorry
cursa,race
scrisoarea,letter
aceştia,these
stăpâne,master
incredere,trust
visat,dream
discuta,talk
glumesc,kidding
teama,the fear
întreagă,full
căci,for
soarta,fate
amy,Amy
naştere,birth
tipule,dude
lea,th
şefule,governor
oficial,official
comun,common
libertate,freedom
înteleg,understand
dansezi,you dance
având,With
roger,Roger
folos,use
bară,bar
europa,Europe
apel,call
salvez,i save
lar,And
demult,recently
spiritul,the spirit
miros,smell
man,hand
on,Mr
cursă,race
rai,heaven
celui,the
voce,voice
câştig,I earn
reprezintă,represents
jeff,jeff
ura,hatred
sase,six
locotenent,lieutenant
concediat,fired
onoarea,honor
g,Mr
contra,versus
întreabă,asks
fiului,the son
subiect,topic
nivel,level
prindem,catch
înca,yet
scaun,seat
fericiţi,happy
iubi,love
înteles,meaning
decizie,decision
incepe,you start
lege,law
kelly,Kelly
victor,Victor
urmele,footsteps
colonel,colonel
fiti,be
binele,the good
afacerile,the businesses
martor,BLANK
vacanţă,holidays
inelul,the ring
acces,accession
principal,main
liniste,Quiet
piatră,Stone
razboi,war
idei,ideas
placi,boards
deschisă,Open
marfa,goods
puşti,kid
jenny,Jenny
pisica,the cat
serviciul,service
trăim,live
termine,complete
anne,Anne
plajă,Beach
luke,luke
raport,report
relaţie,relationship
ted,ted
navă,vessel
autobuzul,the bus
locurile,seats
implor,beg
ciudate,BIZARRE
camere,rooms
coboară,get down
responsabil,responsive
cumpăra,buy
prostiile,crap
pantofii,shoes
ooh,oh
cândva,sometime
transformat,transformed
howard,Howard
saptamana,week
ticălosule,motherfucker
oi,sheep
hârtie,paper
st,St
piatra,Stone
bombă,bomb
momente,moments
umană,humanity
eliberat,ISSUED
barcă,Boat
etajul,floor
intreb,I'm asking
podea,floor
ascunzi,hide
plăcerea,the pleasure
perioada,period
rămânem,stay
însărcinată,pregnant
credeai,thought
destinul,destiny
preot,priest
rezista,resist
cânt,edge
înalt,high
suferit,suffered
creier,brain
v,V
alegi,choose
excepţia,except
citi,read
uitam,watching
întregi,complete
luati,take
cod,code
ucidă,killing
valoare,value
oprească,stop
fereastră,window
mătuşa,aunt
vieţile,creature
prefera,prefer
china,China
razna,run wild
soldaţi,soldiers
căutaţi,searching for
speranţă,the hope
câştigi,win
ordinul,the order
impotriva,against
directorul,the principal
făcute,made
pantaloni,pants
deranjez,bother
prezent,present
permisiunea,permission
domnisoara,girl
ştiri,news
măi,May
jocuri,Games
credeti,think
respiră,just breathe
costa,cost
city,city
ocazie,occasion
gandesc,I think
placere,pleasure
placut,pleasant
judecător,judge
bucuros,happy
jackson,jackson
risc,risk
lire,£
roşie,Red
cariera,career
atingi,touching
semnat,signed
poporul,people
ucizi,you kill
măsură,measure
ocupă,busy
preţul,price
existat,there
costumul,suit
apar,appear
curajul,the courage
zău,really
brad,fir
plângi,cry
nevinovat,innocent
reală,THE REAL
model,model
geniu,genius
angeles,angels
frankie,FRANK
experienţă,the experience
timpului,time
părăsi,leave
puştiul,kid
clubul,club
priceput,skilled
profesore,teacher
scapă,get rid
baiete,boy
jones,jones
primele,first
perete,wall
schimbe,CHANGE
ţinem,keep
genunchi,knee
antrenor,trainer
eric,eric
multa,more
terry,Terry
merita,deserve
pantofi,Shoes
sean,session
urme,all
engleza,English
petrec,spend
apropiat,near
sara,salt
gras,fatty
clădirea,building
ţineţi,hold
reguli,regularly
credea,thought
incerc,try
aleg,I choose
meciul,match
refuzat,declined
renunţat,given up
piept,chest
trecutul,past
caseta,box
cauti,looking
slavă,glory
câini,dog
orasul,the city
sentimentele,sentiments
sărit,i jump
pricepi,understand
înşelat,deceived
rochie,dress
treilea,third
imagina,imagine
bătrâne,old
referi,refer to
sfarsit,the end
zero,zero
red,ed
cerul,heaven
laborator,laboratory
acesti,these
devină,at fault
calitate,quality
recunoscut,recognized
curand,soon
leo,Leo
agentul,agent
comandă,command
interiorul,within
siguri,safety
stele,stars
fraţii,brothers
sigura,secure
clasă,class
case,houses
spuneti,tell
judecată,judgment
simplă,simplicity
chuck,chuck
murim,die
aerul,the air
curajos,brave
fetiţă,daughter
niciunul,no one
codul,the code
rămâneţi,stay
actele,acts
cunoaştem,know
stabilit,established
numeşti,call
facultate,faculty
înceapă,start
deosebit,particular
cursul,the
urca,get on
ouă,eggs
inventat,Invented
colţ,corner
weekend,weekend
bolnavă,sick
susan,sesame
sfinte,saints
yahoo,yahoo
răi,heaven
degeaba,nothing
hotelul,the hotel
duminică,Sunday
dreaptă,right
postul,the post
urmăresc,follow
făcând,making
natura,the nature
minţile,minds
prostule,fool
aha,Aha
julie,scratch
deranja,bother
fug,fleeing
minciună,lie
dovadă,proof
scaunul,seat
încercaţi,try
satul,the village
africa,Africa
albert,Alberta
ramane,remain
nemaipomenit,unbelievable
that,that
luminile,lights
rick,rick
încercând,trying
adormit,sleepy
pregătesc,prepare
ra,Inquiry
clădire,building
treburile,business
dorinţa,desire
bilete,ticket
drace,deuce
curs,course
anunţ,ad
caute,look
dosarul,file
hitler,hitler
fratelui,the brother
craciun,Christmas
deschizi,open
miere,honey
ziar,newspaper
plâng,cry
libertatea,freedom
yo,yo
rezistă,resist
maior,major
amiaza,noon
alan,alan
client,client
ceas,clock
îndreaptă,in the right
teribil,terrible
prinzi,catch
asteptam,we are waiting
viată,life
fals,fake
mincinos,liar
uau,WOW
dinţi,FLUTE
contract,contract
ghici,guess
diferenţa,the difference
trezesc,awake
săi,his
sport,sports
zgomot,noise
marcus,marcus
molly,molly
nostri,our
harta,Map
râu,bad
tipa,screaming
edward,Edward
asteaptă,Wait
sâmbătă,Saturday
fereastra,window
cunoaşteţi,know
semnal,signal
aceeasi,same
simtit,sense
ªi,And
vegas,vegas
ador,I adore
sticla,glass
ochiul,eye
sperăm,hope
insulă,the island
bagajele,the luggage
vise,dreams
gaură,hole
planurile,plans
munte,Mountain
vorbea,speaking
salveze,save
suporta,support
poliţiştii,cops
întâlnirea,the meeting
faza,phase
isus,Jesus
seful,head
fix,fixed
proaste,WORST
india,India
plătească,pay
copilului,baby
fugă,flight
curte,yard
vas,vessel
verifică,check it out
serioasă,serious
dacã,if
gaura,hole
bunico,Grandma
whoa,whoa
imaginea,picture
doc,dock
strâns,tight
franţa,France
val,wave
teatru,theater
tari,countries
lupt,battle
zbura,fly
nota,note
gândeşte,think
johnson,Johnson
mainile,hands
încotro,where
cheie,key
vântul,the wind
culoarea,color
capătul,end
ferma,the farm
helen,Helena
credit,credit
lovi,hit
apropia,approach
îndrăzneşti,dare
continuăm,we continue
cadavru,corpse
plecati,Out
toaletă,WC
ieşire,exit
jesse,Jess
tribunal,law court
amiază,noon
câştigă,win
vânătoare,hunting
artă,the art
arta,the art
lucrăm,I was working
cartier,neighborhood
fotografie,photo
oferă,offers
privirea,the look
obţinut,obtained
anului,year
caii,horses
încercare,test
însemna,mean
duş,shower
uşoară,easy
umane,humanity
degetele,the fingers
sentiment,feeling
îsi,his
miracol,miracle
karen,karen
vietii,life
stil,style
iubitul,boyfriend
gândim,think
pod,bridge
golf,golf
sfat,advice
bucăţi,in pieces
subs,subs
urgent,urgent
aºa,so
propriile,own
prinţul,the prince
texas,Texas
mut,speechless
respectul,respect
duceţi,take
laura,laurel
parc,Park
katie,katie
detalii,details
colonelul,Colonel
roz,pink
vizita,visit
ciocolată,Chocolate
aceleaşi,same
baiatul,boy
zborul,flight
sally,sally
ascund,HIDING
viteză,speed
reveni,return
germania,Germany
alegere,choice
uman,human
poziţie,position
miliarde,billions
victoria,VICTORIA
urmat,followed
dezastru,disaster
speciale,specious
treaz,awake
dovedit,proven
king,king
cumpere,equilibrium
spitalul,the hospital
străin,foreigner
mănânce,eat
spuna,tell
aiba,have
zboară,fly
politie,police
comandantul,commander
nenorocită,fucking
vinzi,sell
străzi,ROADS
cartierul,neighborhood
serie,series
terminaţi,finished
spirit,spirit
cânţi,play
stăpânul,owner
recunoaşte,recognize
veste,news
subiectul,the subject
ajutăm,help
acoperire,covering
dator,indebted
goală,GOAL
răspunzi,answer
lac,lake
pâine,bread
minciuni,lies
răbdare,patience
colegiu,college
salvezi,save
ministru,minister
lord,lord
discuţie,discussion
bunicule,Grandfather
proteja,protect
statul,State
vechiul,old
aah,ahh
lemn,wood
împinge,push away
kim,who
fotografii,photos
tragă,fire
amintit,recalled
meseria,profession
dispoziţie,mood
vânt,wind
biletul,ticket
wayne,wayne
statelor,Member
prinţesă,princess
omorat,murder
recepţionat,INCOMING
procesul,the trial
găsiţi,find
clark,clark
tâmpit,stupid
închisă,closed
dansez,dance
h,h
ciuda,despite
îmbrăcat,dressed up
oferta,offer
atenţi,CAREFUL
jackie,jack
rezolv,solve
glumeam,joking
aurul,the gold
suc,juice
dublu,double
trecuta,last
ştiinţă,science
planetă,the planet
revin,return
motorul,engine
blestemat,cursed
cade,fall
piesa,piece
pamant,earth
cântecul,the song
rupe,break
distrat,absent
partener,partner
telefoane,telephones
norocoasă,lucky
mondial,world
tim,tim
imagine,picture
ploaie,rain
prezenta,present
elizabeth,Elizabeth
alegerea,election
băga,tuck
apărare,defense
fermă,the farm
câinii,dogs
ridici,up
jucam,play
orb,blind
scop,purpose
fetiţa,girl
renunţi,fold
direcţia,direction
pilot,pilot
păstrez,keep
diavolul,devil
gloria,glory
crimei,murder
presa,the press
dick,dick
is,is
acuzat,accused
intrare,entry
dlui,Mr.
acoperiş,roof
liberi,free
camerele,rooms
existe,there
energia,power
lady,lady
vie,vineyard
apropiere,approach
primii,the first ones
verifica,check it out
controla,control
muncesc,I work
moale,soft
vroiai,wanted
aproximativ,approximate
politica,policy
dam,give
antrenament,training
războiului,war
privind,looking
engleză,English
prânzul,the lunch
salutare,Howdy
echipei,team
inclusiv,inclusive
cafeaua,the coffee
betty,Betty
răni,wound
puternici,stronger
urcat,increased
mexic,Mexico
târfa,slut
mila,mercy
apară,defend
moş,forefather
potrivită,right
brusc,suddenly
grele,heavy
nasol,crappy
kilometri,Kilometres
bruce,bruce
nenorocita,fucking
nemernic,wretch
scump,expensive
legii,laws
grace,Graca
ridic,up
puternice,strong
dovada,proof
vară,summer
zicea,said
marie,increase
fine,end
hank,hank
complicat,complicated
renunţ,quit
căutam,we are looking for
kyle,kyle
taylor,taylor
auzim,hear
neapărat,absolutely
draguta,pretty
adevar,truth
proiectul,the project
soţiei,wives
propriu,own
minge,ball
călătoria,trip
scuzati,excuse
minunate,wonderful
morti,dead
atentă,CAREFUL
soarelui,sun
act,act
ţinta,aim
urmăreşte,follows
importanţă,importance
iertare,forgiveness
cartofi,potatoes
jay,jay
vieţi,creature
îndoiesc,doubt
aminti,to lie
poveşti,fairy tales
plăteşte,pays
simţiţi,feel
cuplu,couple
testul,test
placea,like
scurtă,shorten
forţele,forces
potriveşte,FIT
vreunul,any
privi,look
pământului,earth
sare,salt
râzi,laugh
iubesti,love
intrarea,entry
carter,crankcase
wilson,wilson
pina,up
urasc,I hate
medicamente,drugs
victima,victim
iubim,love
primeşte,Get
gluma,joke
aduceţi,bring
mulţumit,satisfied
capcană,trap
superb,superb
pachet,batch
muncit,worked
însurat,married
ajuti,help
ban,money
buzunar,pocket
memoria,the memory
etaj,floor
iarba,Grass
tina,clay
emily,Emily
curvă,whore
minunata,wonderful
gasim,find
efect,effect
trupele,troops
banda,band
relaţia,the relationship
povestit,narrated
păstra,keep
sunet,sound
hollywood,Hollywood
love,lovee
audă,wet
cazuri,cases
greseala,mistake
romantic,romantic
atâţia,many
gen,gender
preferat,favorite
normală,normal
îngheţată,ice cream
forţă,force
proiect,project
francisco,Francisco
eºti,'re
emma,Emma
talent,talent
pozele,pictures
lou,lou
profesionist,professional
adevărata,TRUE
hong,hong
astepta,wait
pasăre,bird
capitane,captain
roşii,tomatoes
însuşi,himself
sugerez,I suggest
dansează,dancing
prezenţa,present
aştepte,expect
înălţimea,height
grupul,the group
zburat,flown
camionul,truck
decide,decide
interviu,interview
nepotul,nephew
ziarul,newspaper
salvare,salvage
kong,Kong
sexul,the sex
cobor,down
fum,smoke
pînă,up
rup,break
căruia,which
braţe,hands
maggie,Maggie
datorez,I owe
brown,brown
conducere,lead
fantomă,the ghost
alarma,alarm
x,x
aventură,venture
ocupată,occupied
jaf,robbery
cadă,bathtub
joseph,Joseph
barry,barry
iarbă,Grass
benzină,benzine
continuaţi,continue
soluţie,solution
ali,others
citeşte,read
amandoi,both
speriată,scared
go,go
obosită,tired
gary,gary
miller,miller
lunii,of
junior,junior
situatia,the situation
durat,lasted
siguranţa,safety
do,do
simtă,sense
puterile,powers
furtuna,the storm
maestrul,master
uscat,dry
linda,LIND
voiai,wanted
şanse,odds
lupţi,FIGHTING
majestate,Majesty
josh,Joshua
întâlneşti,meet
bucurie,joy
medic,doctor
porneşte,STARTS
julia,scratch
negri,blacks
gelos,jealous
disparut,missing
luptăm,fight
condamnat,convict
renunţa,Give up
terenul,land
soldaţii,soldiers
mancare,food
iarăşi,again
kg,kg
interzis,forbidden
trimitem,send
ureche,ear
boala,disease
vechea,old
proasta,stupid
pierdere,loss
privit,viewed
scrisori,writing
lungi,lengthen
respira,just breathe
pedeapsa,punishment
ordonat,orderly
învaţă,learn
dumitale,your
obligat,bound
lewis,lewis
actor,actor
locuieşti,live
ating,touching
mina,mine
avertizez,I warn
curată,cleanse
legal,legal
loveşte,strikes
du,Go
carnea,the meat
rol,role
your,your
ilegal,illegal
local,local
recent,recently
transforma,transform
băieti,boyish
gand,thinking
permit,allow
proprietatea,property
morgan,Morgan
plecare,departure
sunetul,sound
mmm,hmm
primim,we get
scoată,out
chestiune,thing
următoare,following
marty,Marty
we,we
oara,time
ţigară,cigarette
stan,fold
prindă,catch
clientul,customer
legate,bound
companiei,company
floare,flower
suspect,suspect
supravieţui,survive
vestea,news
ghinion,bad luck
secretă,secrete
natural,natural
gandesti,think
pietre,stones
cancer,cancer
cumpărături,shopping
street,street
raymond,Raymond
produs,product
înger,Angel
împrumut,loan
amabil,CONSIDERATE
fostul,former
mac,Mac
bal,prom
zahăr,sugar
întregul,full
sentimente,feeling
statele,Member
pisică,the cat
schimbul,exchange
lovesc,hit
transport,Transport
degete,inch
all,all
îngrijora,worry
bătrână,old
supravieţuit,survival
dezgustător,disgusting
joi,Thursday
drepturile,rights
filmele,the movies
teoria,theory
toaleta,WC
marfă,goods
prinţesa,princess
fugiţi,flee
fericita,happy
florile,flowers
internet,Internet
tratat,treat
hoţ,thief
imaginez,picture
negre,Negros
albi,bleach
cresc,grow
baut,drinking
altii,others
capabil,able
pline,full
surpriza,surprise
baseball,base-ball
mergeti,go
treburi,thing
cît,how
pălăria,hat
treceţi,switch
conta,count
joaca,play
armatei,army
puşcărie,gaol
west,west
braţele,arms
lucreze,working
ticălosul,villain
asteptati,wait
puteau,could
aparatul,device
willie,willie
importanta,importance
invatat,learned
dezamăgit,disappointed
urăşte,hates
presupune,assume
păstrează,keep
americanii,Americans
patrick,patrick
fraţi,brethren
poarte,wear
întâmplare,event
păstrezi,keep
loveşti,hit
brânză,cheese
angela,Angela
cadavre,bodies
star,standing
baia,the bathroom
drogat,drugged
căţea,female dog
deranjat,upset
contractul,the contract
curios,curious
personale,staff
intreaga,around
echipamentul,equipment
merit,I deserve
deschideţi,Open
ocean,ocean
murdar,dirty
nisip,sand
fire,nature
destui,enough
semnul,the sign
deocamdată,for the time being
următoarele,next
iubeste,loves
dorinţă,desire
guvern,government
crăciunul,Christmas
comandat,ordered
mizerie,mess
distrezi,fun
atata,so
bietul,poor
paza,watch
reuşesc,fail
cuţit,knife
zilnic,daily
şerif,sheriff
responsabilitatea,the responsibility
opreste,stops
firma,Company
evreu,Jew
interesantă,interest
baietii,boys
astepti,wait
întelegi,understand
recunoşti,recognize
beth,beth
femeilor,woman
considerat,considered
vasul,vessel
discut,discuss
părăsesc,leave
parintii,the parents
victorie,victory
plictisitor,boring
valorează,WORTH
secunda,second
primar,primary
informatii,information
suferi,suffer
aparat,apparatus
proprietarul,owner
vincent,vincent
bucata,piece
şampanie,champagne
intalnit,meeting
intai,first
gasesti,find
serviciile,services
inel,ring
unitatea,unity
dovedi,prove
explozie,explosion
auziţi,hear
sursa,source
trezi,wake up
altora,others
dati,give
jucător,player
plâns,weeping
multime,lot
fir,thread
învins,defeated
tragem,draw
deodată,suddenly
familii,families
militar,military
părţi,part
învinge,defeat
maiestate,majesty
doug,Dougal
ataca,attack
mişcaţi,move
greg,Gregor
dispară,disappear
stupid,stupid
râde,laugh
priveşti,look
indian,Indian
piesă,piece
pescuit,fishing
pregatit,prepared
minti,lying
doriti,want
copaci,trees
stanley,Stanley
sos,S.O.S
magie,magic
cuţitul,knife
hol,hall
încheiat,ended
vince,vince
tabăra,camp
gândurile,thoughts
turnul,the tower
seamă,account
îndată,soon
plata,the payment
nostim,funny
numi,call
impresionant,impressive
sire,sire
adevăratul,real
mearga,go
căsători,marry
fato,girl
gordon,gordon
