Romanian,English
maşinile,cars
premiul,prize
rusia,Russia
ofertă,offer
căutarea,the quest
comandant,commander
pacea,the peace
confortabil,comfortable
sfânt,saint
liniştită,calm
gay,gay
protecţie,protection
datorezi,owe
oricât,however
jacob,jacob
artist,artist
mickey,mickey
diferită,different
roman,Romanian
politică,policy
cole,Articles
miami,miami
sală,Hall
eroul,hero
urc,I go up
traducere,translation
scriitor,Writer
ieftin,cheap
goale,blank
rar,rare
steven,steven
dureze,take
campion,champion
ţintă,aim
ziare,newspapers
credinţa,faith
catherine,catherine
venind,coming
urechi,ear
personală,staff
venea,coming
fericirea,happiness
eraţi,erratic
politist,policeman
retras,retired
cerem,ask
mândră,pride
semne,mark
categoric,categorical
urile,sites
apărarea,Protection
distrugă,destruction
copie,copy
glonţ,bullet
park,parka
curva,whore
câtă,how much
vinul,the wine
uitati,Remember
ochelarii,spectacles
sammy,sammy
făceai,doing
sănătos,healthy
andrew,andrew
datorie,debt
consiliul,council
eh,huh
zid,wall
despărţit,split up
senator,senator
miles,miles
tyler,Tyler
sentimentul,the feeling
dolar,dollar
adunat,collected
for,forum
păcălit,tricked
promiţi,promise
japonia,Japan
aminteşte,remember
jumate,half
comoara,treasure
rocky,rocky
dinainte,beforehand
mişti,consume
mulţumită,thanks to
băutura,drink
vã,yourself
gloanţe,bullets
hartă,Map
inimii,heart
culci,sleep
hello,Hello
maxim,maximum
oscar,oscar
acte,acts
avere,wealth
jocurile,games
articol,article
boală,disease
dansul,the dance
uciderea,the killing
meriţi,you deserve
cur,ass
harold,Harold
imaginat,figured
amintiri,memories
tristă,sad
coşmar,nightmare
hm,ahem
urâtă,ugly
rezolvăm,solve
dispus,willing
alcool,alcohol
urs,bear
trimită,MAIL
studiat,studied
robin,robin
adevarata,TRUE
ridice,up
americane,US
staţia,the station
statului,State
răul,the river
fiicei,girl
apropii,close
braţul,arm
martori,witnesses
arunce,throw
înţelegem,we understand
furios,furious
arătăm,show
trimiţi,send
boston,Boston
avertizat,ADVISED
italia,Italy
intrebat,questioned
rapidă,rapid
podul,the bridge
furtună,the storm
încrederea,trust
gândul,thought
scăpăm,escape
stătea,sat
presedinte,chairman
carol,Carola
desi,although
domeniul,the
iulie,July
muta,move
jean,jeans
tratament,treatment
rosie,Red
sapte,seven
parcare,parking
culc,bed
placa,plate
fugim,run
căsătoriţi,married
spunând,saying
supăra,offend
pază,watch
şeriful,sheriff
bogaţi,wealth
atacul,attack
misto,cool
doresti,want
realitatea,the reality
întârziere,delay
fabrica,works
probe,samples
victime,casualty
părinţilor,fathers
cad,I'm falling
trai,live
harvey,harvey
septembrie,September
incendiu,fire
întârzii,late
modă,fashion
petreci,party
muntele,mountain
coasta,the coast
show,show
dormitor,bedroom
omorâm,kill
datele,data
transmite,transmit
norman,norman
eveniment,event
sol,ground
furi,stealing
rezultatele,results
rata,the duck
tâmpitule,asshole
evrei,Hebrew
tracy,Tracy
schimbăm,change
deşert,desert
concurs,COMPETITION
valea,Valley
termen,term
adevărate,real
florida,Florida
voştri,your
nebuna,crazy
ron,ron
castel,castle
deasemenea,also
nancy,nancy
margaret,daisy
albe,whites
accepţi,accept
caine,dog
păstrat,reserved
buzele,lips
refuz,refusal
răpit,ravished
jurat,juror
focuri,shots
căcat,shit
încântată,delighted
mobil,mobile
sănătate,health
spălat,washed
explici,explain
sîntem,we are
conducerea,leadership
greşită,wrong
împuşc,shoot
so,it
regină,Queen
servesc,serve
urechile,ear
fier,iron
avioane,aircraft
uşile,the doors
imagini,images
contul,the account
cenţi,cents
stomacul,the stomach
diferenţă,the difference
presiune,pressure
declarat,declared
bond,bond
rusine,shame
criminalul,the killer
câmp,field
înşeli,wrong
cântat,singing
jefuit,robbery
subtitrarea,subtitle
asigurare,insurance
îngropat,buried
asteptat,expect
oase,bones
credinţă,faith
emisiunea,show
earl,earl
supraveghere,surveillance
deget,finger
homosexual,homosexual
scuză,excuse
publice,publicly
magic,Magic
sezonul,season
bată,bat
jonathan,jonathan
fetei,girl
bucura,joy
cealalta,other
guvernului,governor
reuşeşti,succeed
coada,pigtail
vărul,the cousin
posibilitatea,possibility
înţelegerea,the understanding
dinţii,teeth
colo,there
nimerit,fit
membrii,members
dorinta,desire
trădat,betrayed
vânzare,sale
sinucis,suicide
ronnie,Ronnie
he,huh
distrugi,destruction
fusese,was
asigura,ensure
williams,williams
scări,SCALES
iarna,Winter
conducă,lead
porti,gates
ann,ann
virus,virus
strica,hurt
mediu,environment
obiect,object
soţului,husband
micuţa,small
white,white
gus,taste
expert,expert
părintele,Fr.
umple,fill
asculte,listen
carlos,CARL
fructe,fruits
fu,was
vârful,top
universul,the universe
dureri,pain
geam,window
motor,motor
fraier,sucker
idiotul,idiot
glumesti,You're kidding
sophie,Sophos
duminica,Sunday
predau,teach
simţeam,feeling
hot,thief
incerci,try
invers,inverse
fan,hay
pornim,start
şoară,Miss
parul,the hair
made,made
medicală,HEALTHCARE
abandonat,abandoned
doream,wanted
clienţii,the customers
ziceţi,say
apropiaţi,close-knit
gramada,heap
plouă,It's raining
stia,knew
tabără,camp
what,what
caldă,hot
folosească,Avail
ricky,ricky
profit,advantage
cânte,quantity
miercuri,Wednesday
adăpost,shelter
cia,cia
retrag,withdraw
michelle,MICHEL
inamicul,enemy
opera,Opera
frumuseţe,beauty
state,Member
ierta,forgive
gandeam,thinking
batem,fight
nascut,born
însumi,myself
parker,parker
urmezi,CHOOSE
sinucidere,suicide
fiică,daughter
crea,create
oglindă,the mirror
amicul,the friend
sfatul,counsel
părinţi,parents
up,up
w,w
limita,limit
lecţie,lesson
orele,hours
moscova,Moscow
explicat,explicitly
casele,houses
puteri,power
ţigări,cigarettes
cit,how
zăpadă,the snow
bagă,sticks
german,German
familiile,the families
lipsesc,missing
fumezi,you smoke
dennis,dennis
îngrijorată,worried
convine,AGREES
frumoşi,beautiful
drogurile,drugs
părăseşti,leave
canapea,sofa
vorbe,talk
fosta,former
plată,the payment
râd,laugh
rezultatul,the outcome
ranit,injured
genial,brilliant
gaz,gas
cec,check
doctorii,the doctors
papa,bye bye
cowboy,cowboy
filmat,recorded
piaţă,market
martha,Martha
mireasa,Bride
ghicesc,guess
porcărie,carrion
traiesc,I'm alive
astă,to stay
multumim,thank you
august,August
căsătoria,the marriage
ucişi,KILLED
jamie,jamie
impresionat,impressed
cazut,fell
distrug,destruction
trafic,traffic
trezeşti,wake up
asistenta,assistance
elicopter,helicopter
sete,thirst
argint,silver
sabie,sword
marginea,the edge
central,central
rob,slave
dansa,dance
numere,numeral
cădea,fall
greşeala,mistake
centura,belt
jennifer,jennifer
glume,jesting
cerc,circle
numerele,the numbers
şerifule,sheriff
râul,the river
criminali,criminals
grant,grant
proaspăt,fresh
povesti,fairy tales
lucrurilor,things
relaţii,relations
fura,steal
îndeajuns,enough
univers,universe
urmăreşti,follow
stiai,Know
descoperi,discover
ntâmplă,going
grădină,garden
garaj,garage
pagina,page
scapa,get rid
marţi,Tuesday
ucigaş,killer
criză,crisis
distrăm,fun
ceară,wax
antrenorul,coach
naţională,Nation
intrebare,question
poporului,people
dansăm,we Dance
pipi,pee
comandante,commander
mărimea,size
tatalui,father's
albastră,cornflower
fumez,smoking
harris,harris
sar,jump
computer,computer
saptamani,wEEKLY
creaturi,creatures
excursie,trip
atrage,attract
paşi,steps
arătaţi,show
one,one
teddy,teddy
barbara,barbara
raspunde,reply
incat,that
grăbim,hurry
scula,rise
periculoasă,dangerous
obişnuită,ORDINARY
plaja,Beach
francez,French
sonny,sonny
ocupăm,deal
can,can
mesaje,posts
major,major
little,little
presă,the press
prietenului,friend
delicios,delicious
americană,american
crească,grow
black,black
nevoia,the need
student,student
teritoriul,territory
articolul,the article
confuz,confused
operaţie,operation
homo,fag
modalitate,method
bunul,good
prietenilor,friends
speranţa,the hope
eva,Eve
profund,deep
lup,wolf
gânduri,thoughts
altcuiva,to another
societate,society
certat,fight
însemne,mean
detectivul,Detective
aruncăm,take
deşteaptă,clever
desert,desert
stând,stand
ziarele,newspapers
fantome,ghosts
negrii,blacks
nemernicule,you bastard
pacient,patient
octombrie,October
fumat,smoking
ou,egg
daisy,daisies
charlotte,charlotte
penny,penny
lumi,worlds
informaţiile,information
mătuşă,aunt
sări,jump up
revăd,revisit
urăşti,hate
castigat,WON
sotie,wife
publicul,the audience
pasul,up
randy,randy
principală,main
aaron,aaron
sărutat,kissing
câştige,win
garda,guard
piaţa,market
sac,bag
pasiune,passion
lt,Lt
buddy,buddy
palma,palm
suprafaţă,surface
costat,cost
nina,nina
temperatura,temperature
vietnam,Vietnam
acoperit,covered
legi,laws
amanda,amanda
vic,vic
închisoarea,prison
moara,mill
stone,stone
cadoul,present
nave,ships
prostesc,silly
sânii,luge
dog,dog
negativ,negative
scandal,scandal
presedintele,President
produce,produce
apărea,appear
stam,stay
ellen,Ellen
groază,horror
ian,January
mitch,Mitcham
curse,course
fetiţo,girl
bombe,BOMBS
ritmul,the beat
mărit,increased
laş,coward
incet,slow
masca,the mask
înveţe,learn
mutăm,move
corectă,correct
spania,Spain
sange,blood
încetaţi,slowly
judecătorul,the judge
nathan,nathan
începând,starting up
celalalt,the other one
fiinţă,living being
umbra,The Shadow
poftiţi,here you are
atras,attracted
prizonieri,prisoners
urmare,result
finală,the final
întins,stretched out
vremurile,days
be,drink
americii,America
prosti,fool
santa,ditch
continuat,continuity
stelele,the stars
dulap,wardrobe
rezervă,book
mister,mystery
aranjez,fix
excelentă,excellency
mizeria,the mess
distrusă,destroyed
considerare,account
out,out
ameninţare,threat
avans,advance
ajutoare,aid
universitatea,university
FALSE,FALSE
bush,bush
di,di
porcăria,mess
incercam,we try
ploaia,rain
von,will
preajmă,neighborhood
înţeleagă,understand
pauza,pause
pian,piano
incerca,try
discurs,speech
securitatea,security
anthony,anthony
asculti,listen
ned,nc
ceruri,heaven
whisky,whiskey
mandat,mandate
jersey,jersey
efort,effort
scuzi,excuse
şofer,driver
amintiţi,remember
îndrăgostită,in love
revista,magazine
urmări,follow
þi,have your
fotografia,the picture
inchis,closed
dormitorul,bedroom
neil,neil
cererea,application
combustibil,combustible
raspuns,answer
jo,OJ
masină,car
colegii,colleagues
rita,rita
lucreaza,work
prizonier,prisoner
stăteam,sat
visez,dream
cerere,application
nenorociţi,afflicted
dorim,we want
greşeli,mistakes
frumuseţea,the beauty
buck,buck
restaurantul,restaurant
boy,boy
urci,climb
provocat,provoked
russell,Russell
ascultati,listen
metal,metal
forta,force
portofelul,wallet
fantoma,the ghost
careva,anyone
vorbeasca,speak
davis,davis
wong,wong
ruga,pray
fure,steal
păstrăm,We keep
inchisoare,prison
aranja,arrange
atît,both
ken,ken
repar,fix
începeţi,start
cabina,cabin
intalnire,meeting
cercetare,research
teste,test
servici,work
acoperi,cover
platit,paid
scrisorile,letters
ştirile,the news
pierderea,the loss
detaliile,the details
protejez,protect
interesul,the interest
salvăm,save
înaltă,tall
porno,porn
maşinii,car
dispare,disappear
intorci,return
gustul,the taste
sandy,sandy
zbori,fly
puţine,few
strici,mess
berlin,Berlin
zboare,fly
teorie,theory
barul,bar
surori,sisters
bicicleta,bicycle
locuit,inhabited
cumpără,buy
refuza,refuse
castelul,castle
televiziune,television
vârf,peak
capete,heads
munţi,mountains
frigider,refrigerator
derek,derek
dean,dean
recepţie,reception
recunoscător,grateful
faptele,the facts
închizi,close
străini,foreign
locului,place
cadouri,Gifts
victimă,victim
conversaţie,conversation
panică,panic
oarecare,some
sparg,break
vouă,you
dragostei,love
probă,sample
inspector,inspector
robot,robot
completă,fill
intenţionat,intentional
iert,forgive
tatei,father
rătăcit,wandering
rosu,Red
uimitoare,amazing
mm,MM
suparat,upset
ulei,oil
doamnei,Mrs.
durut,hurt
niciuna,none
scoală,school
lovituri,hits
felicitari,congratulations
ramai,stay
obişnuia,used
angel,Angeli
concert,concert
copile,kid
canalul,channel
ohh,ohhh
depozit,deposit
declaraţie,statement
tema,theme
lunga,long
iesim,get out
sărbătorim,celebrate
elibera,ISSUE
mergeam,I went
inutil,useless
bud,buds
abby,abby
vederea,view
informaţie,information
franceză,French
pacat,sin
benny,benny
francis,francis
ajutaţi,help
obişnuiam,I used
sergentul,Sergeant
chip,way
marina,marine
insa,but
dificilă,difficult
preajma,neighborhood
înregistrat,recorded
pregăteşte,prepares
lucram,I was working
iata,there it is
chipul,image
slabă,LOW
cărui,which
mason,freemason
coborât,down
întoarcere,return
plastic,plastic
omorâţi,killed
indiciu,indication
necesare,needed
particular,private
dintotdeauna,always
temi,fear
ziceai,you said
tinut,kept
vecinii,neighbours
ocupe,deal
zack,zack
unt,butter
intereseaza,interested
sensibil,sensitive
drumului,road
condu,conduct
lansare,release
sfârsit,the end
mărturie,witness
propun,I propose
medical,medical
împuşti,shoot
cavaler,Knight
mergea,walking
cacat,shit
înmormântare,funeral
creierii,brains
prezentat,present
mirare,wonder
suferă,suffer
efectul,the effect
răzbunare,revenge
faimos,famous
stephen,Stephen
oliver,oliver
echipajul,the crew
fraiere,sucker
făceau,did
legile,the laws
numeste,called
dosar,folder
proşti,stupid
truc,trick
păpuşă,doll
ofiter,officer
ouăle,eggs
drumu,ahead
reale,REAL
comis,committed
mormânt,grave
barbati,Barbie
bunã,Hi
verificăm,check
ştiau,knew
mail,mail
spuneau,said
căsătorim,married
servi,serve
ocupaţi,Occupy
unuia,a
grădina,garden
supăraţi,angry
vrăjitoare,witch
străzile,streets
ross,ROSSI
mişcăm,move
inspectore,inspectors
membri,States
bisericii,church
coincidenţă,coincidence
bineînteles,of course
aprinde,catch
instanţă,instance
dragon,dragon
zeii,gods
căsătoresc,married
alaturi,with
cativa,a few
putina,some
uriaş,huge
sexual,sexual
ultimă,latest
decembrie,December
coadă,pigtail
invit,invite
binecuvânteze,BLESS
întîmplat,happened
scapat,got rid
ivan,ivan
maestru,master
puiule,baby
primarul,Mayor
militară,military
spion,spy
beţi,drink
ceaiul,the tea
dragi,Dear
avertisment,warning
speria,scare
tânărul,younger
onorată,honored
intelege,understand
piardă,lose
judecata,judgment
crimele,crimes
ras,laugh
cunoscută,known
prinţ,prince
nopţi,nights
subtitrare,subtitle
fetita,girl
servit,serving
lily,lily
aaa,aah
puţini,few
realizezi,realize
feluri,ways
garantez,guarantee
libere,free
inimile,the hearts
aprilie,April
jessica,Jess
întâlniri,meetings
neaţa,Morning
corpului,Corps
apasă,press
verifici,check
dute,Go
gravidă,pregnant
deseară,tonight
chan,Chana
echipament,equipment
plătim,pay
clienţi,customers
sal,shawl
masini,machinery
baftă,good luck
cămaşa,the shirt
piscină,pool
suma,the amount
fut,fuck
ochelari,glasses
susţine,stands up
zgomotul,the noise
maya,Maya
ridicaţi,lift
civil,civil
meritat,merited
uniforma,uniform
aleargă,run
sălbatic,wild
fiindca,because
nenorociţii,motherfuckers
elliot,elliot
apari,appearance
lacrimi,tears
numită,named
nevastă,wife
dispar,disappear
platesc,I pay
gunoiul,trash
sef,head
englez,English
şcolii,school
lasam,leave
intrebari,question
sparge,break
prinşi,trapped
galben,yellow
su,su
comportamentul,Behavior
sarcina,task
sfert,quarter
petrecem,spend
puiul,the chicken
liceul,lice
cunoască,know
fapte,Acts
parteneri,partner
sid,and D
ethan,ethane
plătiţi,Pay
stomac,stomach
presiunea,pressure
noii,new
anderson,anderson
acceptă,accept
forţat,forced
întrebările,questions
şarpe,snake
drag,dear
unitate,unit
iunie,June
atmosfera,atmosphere
zâmbeşte,smile
ră,Miss
intrati,ENTER
majestatea,Majesty
parinte,parent
jurnalul,diary
naturii,nATURE
trecere,pass
palat,Palace
vindem,sell
păsări,birds
matusa,aunt
laboratorul,laboratory
atacă,attack
proprietate,property
protejeze,protect
premiu,prize
discursul,speech
simple,simple
cheltuit,spent
precis,precise
dură,tough
anunţat,announce
nepotrivit,inappropriate
maiorul,Major
dumnezeul,the god
canta,sing
consideră,considerably
renunţă,Give up
sâni,luge
împuşca,shoot
riscul,risk
ofiţerul,officer
titlul,the title
răspunsuri,answers
gândiţi,Think
media,mediate
pădurea,the forest
neobişnuit,unusual
revine,returns
linistit,quiet
z,z
cinema,cinema
chiria,rent
iubirii,love
tunel,tunnel
beton,concrete
lift,elevator
maximă,Maxim
iepure,rabbit
canada,Canada
petrol,oil
cautam,we are looking for
plănuit,planned
bunicii,grandparents
anilor,Anil
hrană,food
nervoasă,angry
fabrică,works
limită,limit
preia,take over
greş,failure
consider,I consider
identitate,identity
stiinta,science
secolul,century
interes,interest
pierre,Pierre
trebuiască,need
motivele,reasons
sensul,the meaning
gheata,ice
lincoln,lincoln
câmpul,the field
sigurantă,safety
încetezi,stop
stâng,left
strânge,tighten
subsol,basement
retrage,withdraw
explicaţie,explanation
luptător,fighter
aruncaţi,discard
houston,Houston
nebunul,crazy
trebuiau,had
deal,hill
donald,donald
ţării,country
primească,receive
aflaţi,find
regatul,kingdom
cinstea,HONOR
salariul,the wage
stanga,Left
repara,repair
bijuterii,jewelry
plina,full
nepoata,niece
samantha,samantha
kung,kung
societatea,the society
ideile,the ideas
cola,coke
verzi,green
guvernator,governor
câştigăm,win
umblat,walked
medicamentele,drugs
moarta,dying
supă,soup
pastile,Tablets
freddy,freddy
destulă,enough
secretele,secrets
necunoscut,unknown
publică,public
nevoit,constrained
limbă,language
aripi,vane
tipului,type
bandă,band
şoc,shock
decit,than
leonard,Leonard
limpede,clear
întoarceţi,return
sue,sue
diferenta,the difference
hal,hal
lipsă,lack
demisia,resignation
capitanul,the captain
rand,row
murdare,dirty
cunoaste,know
aparut,published
curge,flow
considera,considerably
pute,You can
diseara,tonight
zică,say
odihnă,rest
imaginezi,imagine
presupunem,suppose
altuia,another
justin,Justine
împreuna,together
muşcat,bit
staţie,station
bătrâni,old
carieră,career
biletele,the tickets
supa,soup
varsta,age
proba,sample
han,inn
explodat,explode
televizorul,TV
înot,swimming
folosind,use
vesti,proclaim
preşedintelui,President
valoarea,the value
castiga,win
singure,one
curentul,the current
măsura,measure
sexuală,sexed
promisiunea,the promise
construi,build
format,format
apei,water
iadul,hell
bage,stick
diego,diego
încerce,try
material,material
balta,pond
may,may
todd,todd
doctorului,Dr.
apele,waters
cateodata,sometimes
blue,blue
hill,hill
maimuţă,the monkey
drăguţi,cute
stinge,extinguish
ntâmplat,happened
nefericire,misery
federal,federal
momentan,momentary
operaţiunea,operation
hristos,Christ
steaua,the star
deschidem,open
wendy,wendy
privat,private
monstrul,monster
pagină,page
start,start
hector,hector
definitiv,definitive
from,from
cutii,boxes
walker,walker
măritată,married
căsătoreşti,married
leon,LEONE
scara,scale
navei,ship
altundeva,somewhere else
atitudinea,the attitude
shane,Shane
cumparat,bought
orez,rice
aseara,last night
paradis,paradise
alarmă,alarm
tort,cake
liz,Liz
bingo,bingo
convinge,convince
faptului,that
apere,DEFEND
jucaţi,played
peştele,fish
raj,paradise
dispărea,disappear
toast,toast
matthew,matthew
this,this
antrenat,ENTRAINED
micuţul,the little
khan,khan
locotenentul,Lieutenant
larg,large
mintit,lied
lordul,the Lord
psihiatru,psychiatrist
ie,ie
acelui,that
sărbători,celebrate
judy,judy
asasin,assassin
superman,superman
secţie,section
mortii,death
cooper,cooperation
jess,jess
karl,carl
conving,convince
baga,put
seif,safe box
mâncaţi,eat
fizic,physical
drăgut,cute
răniţi,wounded
publicitate,advertisement
rana,wound
greutate,weight
lider,leader
fizică,physics
fură,steal
militare,soldier
memorie,memory
celulă,cell
marte,Mars
parcul,park
strâng,gather
nora,bride
oasele,the bones
comportament,behavior
ciocolata,Chocolate
spăl,washing
ard,burn
pedepsit,grounded
raza,radius
discutam,discuss
frăţioare,brother
cimitir,cemetery
lacul,Lake
nicole,nicole
simpatic,sympathetic
vorbiti,do you speak
ashley,Ashley
bomboane,candy
heather,heather
apropiem,approaching
folosiţi,use
bogată,rich
asigurat,secure
surorile,sisters
medicale,physician
nicky,Nicky
grăbi,hurry
electric,electric
obţin,ACQUIRE
petreceri,parties
cati,how many
decît,THAN
donna,Donn
bautura,drink
pălărie,hat
bucuri,enjoy
capetele,ends
înfricoşător,Frightening
intoarcem,return
punte,deck
şoferul,the driver
standard,standard
liderul,the leader
inchide,hang up
ochilor,eye
incepem,start
holly,holly
richie,Richie
micuţule,shorty
magia,magic
echipe,teams
urechea,ear
radioul,radio
urez,wish
urmez,I follow
buze,lip
totală,total
guvernatorul,governor
opinia,opinion
miscare,motion
ace,needles
înseamna,means
razboiul,the war
terorist,terrorist
deranjeaza,disturb
plictisit,bored
secole,Seco
aterizare,landing
melodia,song
lenny,Lenny
destept,smart
repeta,repeat
grasă,fat
julian,Julian
atit,both
atitudine,attitude
time,time
trupa,the band
rănesc,hurt
vale,valley
geantă,bag
preotul,the priest
ciao,Ciao
sharpe,sharpe
bestia,beast
plăcintă,pie
simţim,feel
acţiunile,action
sectorul,sector
louise,louis
înspre,into
informat,informed
amuzantă,funny
muţi,move
incep,starts
poveştile,stories
pachetul,the package
cuvant,word
ninja,ninjas
umbră,The Shadow
aprins,bright
invata,learn
connie,Connor
know,know
get,get
natură,the nature
trecute,past
amintirile,memories
terapie,therapy
just,fair
naşpa,whack
top,top
italian,Italian
necrezut,unbelievable
canal,Canal
grăbeşti,hurry
car,cart
zvonuri,rumors
diamante,diamonds
experienţa,the experience
şedinţă,meeting
benjamin,benjamin
ascundem,hide
falsă,fake
fain,flour
sfârşi,end
legată,related
unchiului,uncle
închiriat,rent
speranta,the hope
adună,gather
anumit,certain
drăguţe,pretty
adesea,often
parea,sound
rezultate,result
creatura,creature
menţionat,mentioned
dureros,painful
rogi,pray
adaptare,adaptation
depăşit,OVER
urmărim,follow
green,GREENE
celorlalţi,others
amintire,memory
coleg,colleague
travis,travis
ford,Forde
înălţime,height
reputaţia,reputation
reporter,reporter
concursul,contest
ring,ring
belea,trouble
piese,parts
tone,tons
şobolan,rat
însuţi,thyself
vândă,vandal
original,original
nicaieri,nowhere
rugam,Please
iubea,loved
personalul,staff
distrez,fun
avioanele,planes
nori,Cloudiness
altor,other
numim,call
puşcă,rifle
direcţie,direction
ţări,creep
apăra,defend
fericite,HAPPY
legenda,the legend
reţinut,restrained
rude,kin
urmatorul,next
parasit,left
cumpara,buy
surioară,sis
ministrul,Minister
felix,felix
eroare,error
colegi,fellow
brooklyn,brooklyn
shh,shhh
berea,the beer
dobitoc,beast
collins,collins
cristoase,crystal
reparat,FIX
tăia,cut
metodă,method
hannah,hannah
noile,new
flăcări,fire
inamic,enemy
tinerii,young people
hristoase,Christ
chloe,Chloe
kenny,kenny
satelit,satellite
wade,wade
mel,honey
imens,huge
ucisă,murdered
acordat,agreement
absurd,absurd
douăzeci,twentieth
prostul,bad
rănită,wounded
strict,strict
y,y
circ,circus
sclavi,slavery
promisiune,promise
butonul,the button
cuvine,properly
baker,baker
băieţel,little boy
lloyd,lloyd
egoist,selfish
oxigen,oxygen
greutatea,the weight
distra,entertain
cobori,down
vampir,vampire
nemernicul,asshole
povestesc,tell
lance,lance
cazi,Shelves
voluntar,voluntary
celula,cell
marco,marco
dosarele,records
necaz,trouble
salvarea,save
cindy,cindy
clare,clear
lipsi,lack
elicopterul,helicopter
doarmă,sleep
incoace,onwards
evadat,fugitive
ralph,ralph
gina,gina
permiteţi,allow
favoarea,favor
chemi,call
universitate,university
einstein,einstein
zâmbet,smile
emisiune,talk shows
oarecum,somewhat
toby,toby
şansele,chances
casey,casey
surorii,the sisters
munceşti,do you work
amestec,mixture
seth,Seth
lasati,leave
acelei,that
vizitat,visited
incident,incident
creatură,creature
posibilitate,possibility
firmă,Company
mere,apples
lawrence,Lawrence
virginia,virgin
transmit,transmit
capului,head
